field_id,subset,phenotype_description,type
20003,1140864618,Medication: zestoretic 10 tablet,binary
20003,1140864632,Medication: mst continus 200mg/sachet granules for suspension,binary
20003,1140864712,Medication: ciloxan 0.3% eye drops,binary
20003,1140864726,Medication: vividrin 2% nasal spray,binary
20003,1140864728,Medication: vividrin 2% eye drops,binary
20003,1140864734,Medication: combivent inhaler,binary
20003,1140864742,Medication: tinaderm cream,binary
20003,1140864744,Medication: tinaderm plus powder,binary
20003,1140864746,Medication: tinaderm plus spray,binary
20003,1140864750,Medication: histafen 60mg tablet,binary
20003,1140864752,Medication: lansoprazole,binary
20003,1140864808,Medication: tropergen tablet,binary
20003,1140864810,Medication: loperagen 2mg capsule,binary
20003,1140864820,Medication: cutivate 0.05% cream,binary
20003,1140864860,Medication: nu-seals aspirin 75mg e/c tablet,binary
20003,1140864864,Medication: amphocil 50mg i-v infusion (pdr for recon),binary
20003,1140864866,Medication: amphocil 100mg intravenous infusion,binary
20003,1140864872,Medication: terfinax 60mg tablet,binary
20003,1140864874,Medication: torem 2.5mg tablet,binary
20003,1140864904,Medication: angitate 10mg tablet,binary
20003,1140864910,Medication: carace 10 plus tablet,binary
20003,1140864912,Medication: fortum 3g injection (pdr for recon),binary
20003,1140864916,Medication: stilnoct 5mg tablet,binary
20003,1140864922,Medication: orgafol 75iu injection (pdr for recon)+diluent,binary
20003,1140864950,Medication: bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet,binary
20003,1140864952,Medication: lisinopril+hydrochlorothiazide 10mg/12.5mg tablet,binary
20003,1140864956,Medication: subcutaneous heparin,binary
20003,1140864962,Medication: fenoterol+ipratropium 100micrograms/40micrograms inhaler,binary
20003,1140864966,Medication: salbutamol+ipratropium 100micrograms/20micrograms inhaler,binary
20003,1140864992,Medication: tramadol,binary
20003,1140864998,Medication: zydol 100mg/2ml injection,binary
20003,1140865000,Medication: zydol 50mg capsule,binary
20003,1140865010,Medication: viscotears liquid eye gel,binary
20003,1140865016,Medication: zolpidem,binary
20003,1140865028,Medication: dornase alfa,binary
20003,1140865032,Medication: cheracol elixir,binary
20003,1140865136,Medication: yohimbine/pemoline/methyltestosterone,binary
20003,1140865170,Medication: dried yeast 300mg tablet,binary
20003,1140865186,Medication: aluminium hydroxide product,binary
20003,1140865192,Medication: alu-cap capsule,binary
20003,1140865228,Medication: topical anti-inflammatory prep[1],binary
20003,1140865234,Medication: sodium chloride 0.9% nose drops,binary
20003,1140865236,Medication: dermacare cream 200ml,binary
20003,1140865260,Medication: sodium chloride 0.9% topical solution,binary
20003,1140865294,Medication: gastron tablet,binary
20003,1140865302,Medication: cantil 25mg tablet,binary
20003,1140865308,Medication: piptal 5mg tablet,binary
20003,1140865310,Medication: piptalin suspension,binary
20003,1140865318,Medication: nacton 2mg tablet,binary
20003,1140865330,Medication: pro-banthine 15mg tablet,binary
20003,1140865336,Medication: spasmonal 60mg capsule,binary
20003,1140865338,Medication: alverine citrate+sterculia 0.5%/62% granules,binary
20003,1140865348,Medication: fomac 135mg tablet,binary
20003,1140865350,Medication: fybogel mebeverine sachet,binary
20003,1140865354,Medication: gaviscon liquid,binary
20003,1140865358,Medication: maalox tablet,binary
20003,1140865366,Medication: maalox plus suspension,binary
20003,1140865368,Medication: mucogel suspension,binary
20003,1140865370,Medication: topal tablet,binary
20003,1140865374,Medication: ambutonium bromide,binary
20003,1140865378,Medication: dicyclomine hydrochloride,binary
20003,1140865380,Medication: kolanticon gel,binary
20003,1140865382,Medication: merbentyl 10mg tablet,binary
20003,1140865394,Medication: hyoscine butylbromide,binary
20003,1140865396,Medication: buscopan 10mg tablet,binary
20003,1140865408,Medication: mebeverine hcl+ispaghula 135mg/3.5g/sachet granules,binary
20003,1140865414,Medication: peppermint oil product,binary
20003,1140865416,Medication: colpermin 0.2ml m/r gel e/c capsule,binary
20003,1140865418,Medication: mintec 0.2ml e/c capsule,binary
20003,1140865426,Medication: cimetidine,binary
20003,1140865468,Medication: gastrozepin 50mg tablet,binary
20003,1140865472,Medication: bismuth chelate,binary
20003,1140865474,Medication: de-noltab 120mg tablet,binary
20003,1140865478,Medication: tripotassium dicitratobismuthate 120mg tablet,binary
20003,1140865492,Medication: dyspamet chewtab 200mg chewable tablet,binary
20003,1140865496,Medication: galenamet 200mg tablet,binary
20003,1140865510,Medication: peptimax 200 tablet,binary
20003,1140865512,Medication: phimetin 200mg tablet,binary
20003,1140865524,Medication: zita 200mg tablet,binary
20003,1140865530,Medication: ultec 200mg tablet,binary
20003,1140865536,Medication: sucralfate,binary
20003,1140865538,Medication: antepsin 1g tablet,binary
20003,1140865548,Medication: pyrogastrone tablet,binary
20003,1140865552,Medication: liquorice,binary
20003,1140865554,Medication: caved-s tablet,binary
20003,1140865564,Medication: imodium 2mg capsule,binary
20003,1140865576,Medication: cholestyramine,binary
20003,1140865578,Medication: mesalazine,binary
20003,1140865580,Medication: asacol 400mg e/c tablet,binary
20003,1140865588,Medication: pentasa sr 250mg m/r tablet,binary
20003,1140865598,Medication: salofalk 250mg e/c tablet,binary
20003,1140865608,Medication: famotidine,binary
20003,1140865618,Medication: nizatidine,binary
20003,1140865624,Medication: axid 150mg capsule,binary
20003,1140865628,Medication: misoprostol,binary
20003,1140865632,Medication: cytotec 200mcg tablet,binary
20003,1140865634,Medication: omeprazole,binary
20003,1140865646,Medication: kln mixture,binary
20003,1140865650,Medication: diarrest liquid,binary
20003,1140865652,Medication: kaodene mixture,binary
20003,1140865654,Medication: codeine phosphate+kaolin 10mg/3g/10ml mixture,binary
20003,1140865656,Medication: diphenoxylate,binary
20003,1140865658,Medication: lomotil tablet,binary
20003,1140865664,Medication: nalcrom 100mg capsule,binary
20003,1140865668,Medication: sulphasalazine,binary
20003,1140865670,Medication: salazopyrin 500mg tablet,binary
20003,1140865686,Medication: dulco-lax 5mg e/c tablet,binary
20003,1140865688,Medication: cascara,binary
20003,1140865694,Medication: danthron,binary
20003,1140865702,Medication: normax capsule,binary
20003,1140865716,Medication: senna,binary
20003,1140865724,Medication: sodium picosulphate,binary
20003,1140865726,Medication: picolax 10mg/sachet oral powder,binary
20003,1140865734,Medication: liquid paraffin,binary
20003,1140865742,Medication: dipentum 250mg capsule,binary
20003,1140865744,Medication: bran,binary
20003,1140865746,Medication: proctofibe tablet,binary
20003,1140865750,Medication: wheat fibre 80% powder,binary
20003,1140865752,Medication: ispaghula husk,binary
20003,1140865758,Medication: isogel granules,binary
20003,1140865760,Medication: metamucil powder,binary
20003,1140865762,Medication: regulan 3.6g/sachet powder,binary
20003,1140865772,Medication: methylcellulose,binary
20003,1140865774,Medication: celevac 500mg tablet,binary
20003,1140865778,Medication: sterculia,binary
20003,1140865780,Medication: sterculia+frangula 62%/8% granules,binary
20003,1140865786,Medication: bisacodyl,binary
20003,1140865792,Medication: petrolagar emulsion,binary
20003,1140865800,Medication: lactulose product,binary
20003,1140865804,Medication: duphalac solution,binary
20003,1140865806,Medication: laxose solution,binary
20003,1140865808,Medication: lactugal solution,binary
20003,1140865810,Medication: regulose solution,binary
20003,1140865816,Medication: anusol cream,binary
20003,1140865822,Medication: anacal rectal ointment,binary
20003,1140865832,Medication: predenema 20mg/100ml standard tube retention enema,binary
20003,1140865838,Medication: predsol 5mg suppository,binary
20003,1140865840,Medication: predfoam 20mg enema,binary
20003,1140865870,Medication: klean-prep oral powder,binary
20003,1140865872,Medication: magnesium citrate,binary
20003,1140865876,Medication: citramag 17.7g/sachet powder,binary
20003,1140865878,Medication: lactitol,binary
20003,1140865894,Medication: dulco-lax 5mg paediatric suppository,binary
20003,1140865896,Medication: fletchers' arachis oil retention enema,binary
20003,1140865898,Medication: veripaque 50mg in 3g enema,binary
20003,1140865900,Medication: carbalax 1.72g suppository,binary
20003,1140865906,Medication: arachis oil retention enema,binary
20003,1140865910,Medication: magnesium sulphate 50% retention enema,binary
20003,1140865922,Medication: perinal spray,binary
20003,1140865930,Medication: chenodeoxycholic acid product,binary
20003,1140865936,Medication: chendol 125mg capsule,binary
20003,1140865946,Medication: nutrizym 10 e/c granules in capsule,binary
20003,1140865950,Medication: panzytrat-25000 e/c granules in capsule,binary
20003,1140865954,Medication: pancreatin with high lipase capsule,binary
20003,1140865966,Medication: digoxin product,binary
20003,1140865982,Medication: lanoxin-pg 62.5micrograms tablet,binary
20003,1140865990,Medication: digitoxin,binary
20003,1140865992,Medication: chenofalk 250mg capsule,binary
20003,1140865996,Medication: ursodeoxycholic acid product,binary
20003,1140865998,Medication: destolit 150mg tablet,binary
20003,1140866000,Medication: ursofalk 250mg capsule,binary
20003,1140866008,Medication: rowachol capsule,binary
20003,1140866010,Medication: chenodeoxycholic+ursodeoxycholic acid,binary
20003,1140866012,Medication: combidol tablet,binary
20003,1140866018,Medication: muripsin 500mg tablet,binary
20003,1140866022,Medication: pancreatin,binary
20003,1140866026,Medication: creon e/c granules in capsule,binary
20003,1140866030,Medication: pancrease e/c granules in capsule,binary
20003,1140866034,Medication: pancrex v powder,binary
20003,1140866050,Medication: digitaline nativelle 100micrograms tablet,binary
20003,1140866052,Medication: lanatoside c,binary
20003,1140866054,Medication: cedilanid 250micrograms tablet,binary
20003,1140866058,Medication: medigoxin,binary
20003,1140866060,Medication: lanitop 100micrograms tablet,binary
20003,1140866072,Medication: hydroflumethiazide,binary
20003,1140866074,Medication: hydrenox 50mg tablet,binary
20003,1140866078,Medication: indapamide,binary
20003,1140866084,Medication: mefruside,binary
20003,1140866086,Medication: baycaron 25mg tablet,binary
20003,1140866090,Medication: methyclothiazide,binary
20003,1140866092,Medication: metolazone,binary
20003,1140866094,Medication: metenix-5 tablet,binary
20003,1140866096,Medication: xuret 500micrograms tablet,binary
20003,1140866102,Medication: polythiazide,binary
20003,1140866104,Medication: nephril 1mg tablet,binary
20003,1140866108,Medication: xipamide,binary
20003,1140866110,Medication: diurexan 20mg tablet,binary
20003,1140866116,Medication: frusemide,binary
20003,1140866122,Medication: bendrofluazide,binary
20003,1140866128,Medication: aprinox 2.5mg tablet,binary
20003,1140866132,Medication: berkozide 2.5mg tablet,binary
20003,1140866136,Medication: neo-naclex 5mg tablet,binary
20003,1140866138,Medication: chlorothiazide,binary
20003,1140866140,Medication: saluric 500mg tablet,binary
20003,1140866144,Medication: chlorthalidone,binary
20003,1140866146,Medication: hygroton 50mg tablet,binary
20003,1140866156,Medication: cyclopenthiazide,binary
20003,1140866158,Medication: navidrex 500mcg tablet,binary
20003,1140866162,Medication: hydrochlorothiazide,binary
20003,1140866164,Medication: esidrex 25mg tablet,binary
20003,1140866168,Medication: hydrosaluric 25mg tablet,binary
20003,1140866182,Medication: dryptal 40mg tablet,binary
20003,1140866192,Medication: froop 40mg tablet,binary
20003,1140866194,Medication: frusid 40mg tablet,binary
20003,1140866200,Medication: ethacrynic acid,binary
20003,1140866202,Medication: edecrin 50mg tablet,binary
20003,1140866206,Medication: ethacrynic acid 50mg tablet,binary
20003,1140866210,Medication: piretanide,binary
20003,1140866212,Medication: arelix 6mg capsule,binary
20003,1140866220,Medication: midamor 5mg tablet,binary
20003,1140866222,Medication: amilospare 5mg tablet,binary
20003,1140866226,Medication: berkamil 5mg tablet,binary
20003,1140866230,Medication: potassium canrenoate,binary
20003,1140866232,Medication: spiroctan-m 200mg/10ml injection,binary
20003,1140866236,Medication: spironolactone,binary
20003,1140866244,Medication: aldactone 25mg tablet,binary
20003,1140866248,Medication: lasix 20mg tablet,binary
20003,1140866262,Medication: rusyde 20mg tablet,binary
20003,1140866280,Medication: bumetanide,binary
20003,1140866282,Medication: burinex 1mg tablet,binary
20003,1140866306,Medication: spirospare 25mg tablet,binary
20003,1140866308,Medication: spiretic 25mg tablet,binary
20003,1140866312,Medication: spiroctan 25mg tablet,binary
20003,1140866318,Medication: spirolone 25mg tablet,binary
20003,1140866324,Medication: triamterene+benzthiazide 50mg/25mg capsule,binary
20003,1140866328,Medication: triam-co tablet,binary
20003,1140866330,Medication: triamterene+chlorthalidone 50mg/50mg tablet,binary
20003,1140866332,Medication: triamterene+frusemide 50mg/40mg tablet,binary
20003,1140866334,Medication: lasoride tablet,binary
20003,1140866340,Medication: delvas tablet,binary
20003,1140866352,Medication: navispare tablet,binary
20003,1140866354,Medication: amilmaxco 5/50 tablet,binary
20003,1140866356,Medication: burinex a tablet,binary
20003,1140866360,Medication: triamaxco tablet,binary
20003,1140866388,Medication: triamterene,binary
20003,1140866390,Medication: dytac 50mg capsule,binary
20003,1140866396,Medication: aldactide 25 tablet,binary
20003,1140866400,Medication: amil-co tablet,binary
20003,1140866402,Medication: dyazide tablet,binary
20003,1140866404,Medication: dytide capsule,binary
20003,1140866406,Medication: frumil tablet,binary
20003,1140866408,Medication: frusene tablet,binary
20003,1140866410,Medication: kalspare tablet,binary
20003,1140866412,Medication: lasilactone capsule,binary
20003,1140866416,Medication: moduret 25 tablet,binary
20003,1140866418,Medication: fru-co tablet,binary
20003,1140866420,Medication: moduretic tablet,binary
20003,1140866422,Medication: amiloride hcl+cyclopenthiazide 2.5mg/250micrograms tablet,binary
20003,1140866426,Medication: amiloride hydrochloride+bumetanide 5mg/1mg tablet,binary
20003,1140866438,Medication: burinex k m/r tablet,binary
20003,1140866440,Medication: centyl k m/r tablet,binary
20003,1140866442,Medication: diumide-k continus m/r tablet,binary
20003,1140866444,Medication: lasikal m/r tablet,binary
20003,1140866446,Medication: neo-naclex k m/r tablet,binary
20003,1140866448,Medication: bumetanide+potassium 500micrograms/7.7mmol m/r tablet,binary
20003,1140866450,Medication: bendrofluazide+potassium 2.5mg/7.7mmol m/r tablet,binary
20003,1140866460,Medication: half securon sr 120mg m/r tablet,binary
20003,1140866466,Medication: securon 40mg tablet,binary
20003,1140866484,Medication: geangin 40mg tablet,binary
20003,1140866506,Medication: frusemide+potassium 20mg/10mmol m/r tablet,binary
20003,1140866516,Medication: cordarone x 100mg tablet,binary
20003,1140866546,Medication: berkatens 40mg tablet,binary
20003,1140866554,Medication: cordilox 40mg tablet,binary
20003,1140866568,Medication: disopyramide,binary
20003,1140866574,Medication: dirythmin sa 150mg durule,binary
20003,1140866576,Medication: rythmodan 100mg capsule,binary
20003,1140866584,Medication: pronestyl 250mg tablet,binary
20003,1140866598,Medication: kinidin 250mg durule,binary
20003,1140866602,Medication: tonocard 400mg tablet,binary
20003,1140866612,Medication: arythmol 150mg tablet,binary
20003,1140866624,Medication: ethmozine 200mg tablet,binary
20003,1140866636,Medication: isomide 100mg capsule,binary
20003,1140866654,Medication: tambocor 50mg tablet,binary
20003,1140866666,Medication: mexitil 50mg capsule,binary
20003,1140866692,Medication: beta-adrenoceptor blocking drug,binary
20003,1140866704,Medication: angilol 10mg tablet,binary
20003,1140866712,Medication: cardinol 10mg tablet,binary
20003,1140866724,Medication: acebutolol,binary
20003,1140866726,Medication: sectral 100mg capsule,binary
20003,1140866738,Medication: atenolol,binary
20003,1140866756,Medication: tenormin 25 tablet,binary
20003,1140866758,Medication: vasaten 50mg tablet,binary
20003,1140866764,Medication: apsolol 10mg tablet,binary
20003,1140866766,Medication: propanix 10mg tablet,binary
20003,1140866778,Medication: betadur cr 160mg m/r capsule,binary
20003,1140866782,Medication: beta-prograne 160mg m/r capsule,binary
20003,1140866784,Medication: berkolol 10mg tablet,binary
20003,1140866798,Medication: half-betadur cr 80mg m/r capsule,binary
20003,1140866800,Medication: half-inderal la 80mg m/r capsule,binary
20003,1140866802,Medication: half beta-prograne 80mg m/r capsule,binary
20003,1140866804,Medication: inderal 10mg tablet,binary
20003,1140867078,Medication: benperidol,binary
20003,1140867080,Medication: anquil 250micrograms tablet,binary
20003,1140867084,Medication: droperidol,binary
20003,1140867086,Medication: droleptan 10mg tablet,binary
20003,1140867092,Medication: serenace 500micrograms capsule,binary
20003,1140867118,Medication: methotrimeprazine,binary
20003,1140867122,Medication: nozinan 25mg tablet,binary
20003,1140867134,Medication: pericyazine,binary
20003,1140867136,Medication: neulactil 2.5mg tablet,binary
20003,1140867150,Medication: flupenthixol,binary
20003,1140867152,Medication: depixol 3mg tablet,binary
20003,1140867156,Medication: moditen 1mg tablet,binary
20003,1140867168,Medication: haloperidol,binary
20003,1140867180,Medication: dozic 1mg/ml oral liquid,binary
20003,1140867184,Medication: haldol 5mg tablet,binary
20003,1140867208,Medication: perphenazine,binary
20003,1140867210,Medication: fentazin 2mg tablet,binary
20003,1140867218,Medication: pimozide,binary
20003,1140867222,Medication: rideril 25mg tablet,binary
20003,1140867244,Medication: stelazine 1mg tablet,binary
20003,1140867272,Medication: orap 2mg tablet,binary
20003,1140867288,Medication: sparine 50mg/5ml suspension,binary
20003,1140867304,Medication: sulpiride,binary
20003,1140867306,Medication: dolmatil 200mg tablet,binary
20003,1140867312,Medication: melleril 10mg tablet,binary
20003,1140867332,Medication: trifluperidol,binary
20003,1140867334,Medication: triperidol 500micrograms tablet,binary
20003,1140867342,Medication: clopixol 2mg tablet,binary
20003,1140867398,Medication: fluphenazine decanoate,binary
20003,1140867406,Medication: loxapine,binary
20003,1140867414,Medication: loxapac 10mg capsule,binary
20003,1140867420,Medication: clozapine,binary
20003,1140867432,Medication: roxiam 150mg m/r capsule,binary
20003,1140867444,Medication: risperidone,binary
20003,1140867456,Medication: modecate 12.5mg/0.5ml oily injection,binary
20003,1140867474,Medication: decazate 25mg/1ml oily injection,binary
20003,1140867490,Medication: lithium product,binary
20003,1140867494,Medication: camcolit 250 tablet,binary
20003,1140867498,Medication: liskonum 450mg m/r tablet,binary
20003,1140867500,Medication: phasal 300mg m/r tablet,binary
20003,1140867504,Medication: priadel 200mg m/r tablet,binary
20003,1140867518,Medication: litarex 564mg m/r tablet,binary
20003,1140867520,Medication: li-liquid 5.4mmol/5ml oral solution,binary
20003,1140867546,Medication: fluspirilene,binary
20003,1140867548,Medication: redeptin 2mg/1ml injection,binary
20003,1140867572,Medication: piportil depot 50mg/1ml oily injection,binary
20003,1140867600,Medication: domical 10mg tablet,binary
20003,1140867618,Medication: pertofran 25mg tablet,binary
20003,1140867624,Medication: prothiaden 25mg capsule,binary
20003,1140867628,Medication: prepadine 25mg capsule,binary
20003,1140867632,Medication: dothapax 25mg capsule,binary
20003,1140867640,Medication: doxepin,binary
20003,1140867658,Medication: elavil 10mg tablet,binary
20003,1140867662,Medication: lentizol 25mg m/r capsule,binary
20003,1140867668,Medication: tryptizol 10mg tablet,binary
20003,1140867690,Medication: anafranil 10mg capsule,binary
20003,1140867712,Medication: tofranil 10mg tablet,binary
20003,1140867720,Medication: iprindole,binary
20003,1140867722,Medication: prondol 15mg tablet,binary
20003,1140867726,Medication: lofepramine,binary
20003,1140867734,Medication: concordin 5mg tablet,binary
20003,1140867756,Medication: trimipramine,binary
20003,1140867758,Medication: surmontil 10mg tablet,binary
20003,1140867770,Medication: vivalan 50mg tablet,binary
20003,1140867774,Medication: amoxapine,binary
20003,1140867784,Medication: ludiomil 10mg tablet,binary
20003,1140867806,Medication: bolvidon 10mg tablet,binary
20003,1140867812,Medication: norval 10mg tablet,binary
20003,1140867818,Medication: nortriptyline,binary
20003,1140867820,Medication: allegron 10mg tablet,binary
20003,1140867824,Medication: aventyl 10mg capsule,binary
20003,1140867840,Medication: asendis 25mg tablet,binary
20003,1140867850,Medication: phenelzine,binary
20003,1140867852,Medication: nardil 15mg tablet,binary
20003,1140867856,Medication: isocarboxazid,binary
20003,1140867858,Medication: marplan 10mg tablet,binary
20003,1140867860,Medication: faverin 50mg tablet,binary
20003,1140867876,Medication: prozac 20mg capsule,binary
20003,1140867878,Medication: sertraline,binary
20003,1140867884,Medication: lustral 50mg tablet,binary
20003,1140867888,Medication: paroxetine,binary
20003,1140867894,Medication: pemoline,binary
20003,1140867896,Medication: volital 20mg tablet,binary
20003,1140867900,Medication: prolintane hydrochloride+vitamins b+c 2.5mg/5ml liquid,binary
20003,1140867904,Medication: dexedrine 5mg tablet,binary
20003,1140867914,Medication: tranylcypromine,binary
20003,1140867916,Medication: parnate 10mg tablet,binary
20003,1140867920,Medication: moclobemide,binary
20003,1140867922,Medication: manerix 150mg tablet,binary
20003,1140867928,Medication: limbitrol-5 capsule,binary
20003,1140867930,Medication: motival tablet,binary
20003,1140867932,Medication: parstelin tablet,binary
20003,1140867934,Medication: triptafen tablet,binary
20003,1140867938,Medication: amitriptyline+chlordiazepoxide 12.5mg/5mg capsule,binary
20003,1140867940,Medication: fluphenazine hydrochloride+nortriptyline 1.5mg/30mg tablet,binary
20003,1140867942,Medication: fluphenazine hcl+nortriptyline 500micrograms/10mg tablet,binary
20003,1140867944,Medication: tranylcypromine+trifluoperazine 10mg/1mg tablet,binary
20003,1140867948,Medication: amitriptyline hydrochloride+perphenazine 10mg/2mg tablet,binary
20003,1140867952,Medication: fluanxol 500micrograms tablet,binary
20003,1140867960,Medication: tryptophan product,binary
20003,1140867970,Medication: apisate m/r tablet,binary
20003,1140867972,Medication: tenuate dospan 75mg m/r tablet,binary
20003,1140867982,Medication: ponderax 60mg m/r capsule,binary
20003,1140867986,Medication: mazindol,binary
20003,1140867988,Medication: dramamine 50mg tablet,binary
20003,1140867998,Medication: motilium 10mg tablet,binary
20003,1140868012,Medication: scopoderm tts transdermal patch,binary
20003,1140868034,Medication: mygdalon 10mg tablet,binary
20003,1140868036,Medication: parmid 10mg tablet,binary
20003,1140868040,Medication: phentermine,binary
20003,1140868042,Medication: duromine 15mg m/r capsule,binary
20003,1140868046,Medication: ionamin 15mg m/r capsule,binary
20003,1140868054,Medication: dexfenfluramine,binary
20003,1140868058,Medication: adifax 15mg capsule,binary
20003,1140868064,Medication: serc-8 tablet,binary
20003,1140868074,Medication: stugeron 15mg tablet,binary
20003,1140868076,Medication: cinaziere 15mg tablet,binary
20003,1140868080,Medication: cyclizine,binary
20003,1140868082,Medication: valoid 50mg tablet,binary
20003,1140868090,Medication: dimenhydrinate,binary
20003,1140868096,Medication: primperan 10mg tablet,binary
20003,1140868112,Medication: nabilone,binary
20003,1140868114,Medication: cesamet 1mg capsule,binary
20003,1140868116,Medication: avomine 25mg tablet,binary
20003,1140868120,Medication: trifluoperazine,binary
20003,1140868122,Medication: cisapride,binary
20003,1140868126,Medication: prepulsid 10mg tablet,binary
20003,1140868128,Medication: alimix 10mg tablet,binary
20003,1140868134,Medication: ondansetron,binary
20003,1140868144,Medication: zofran 4mg tablet,binary
20003,1140868158,Medication: tropisetron,binary
20003,1140868160,Medication: navoban 5mg capsule,binary
20003,1140868170,Medication: prochlorperazine,binary
20003,1140868172,Medication: stemetil 5mg tablet,binary
20003,1140868186,Medication: vertigon 10mg spansule,binary
20003,1140868190,Medication: proziere 5mg tablet,binary
20003,1140868192,Medication: buccastem 3mg tablet,binary
20003,1140868226,Medication: aspirin,binary
20003,1140868240,Medication: paracetamol product,binary
20003,1140868258,Medication: aspav dispersible tablet,binary
20003,1140868260,Medication: distalgesic tablet,binary
20003,1140868262,Medication: doloxene compound capsule,binary
20003,1140868264,Medication: equagesic tablet,binary
20003,1140868266,Medication: fortagesic tablet,binary
20003,1140868268,Medication: lobak tablet,binary
20003,1140868274,Medication: paracetamol+chlormezanone 450mg/100mg tablet,binary
20003,1140868278,Medication: paracetamol+pentazocine 500mg/15mg tablet,binary
20003,1140868280,Medication: cosalgesic tablet,binary
20003,1140868282,Medication: aspirin+methocarbamol 325mg/400mg tablet,binary
20003,1140868286,Medication: paracodol soluble tablet,binary
20003,1140868294,Medication: robaxisal forte tablet,binary
20003,1140868302,Medication: disprol paediatric 120mg/5ml s/f suspension,binary
20003,1140868304,Medication: panadol 120mg/5ml baby+infant suspension,binary
20003,1140868306,Medication: pameton tablet,binary
20003,1140868312,Medication: alvedon 125mg suppository,binary
20003,1140868322,Medication: paracetamol+methionine 500mg/250mg tablet,binary
20003,1140868324,Medication: medinol under six 120mg/5ml s/f suspension,binary
20003,1140868326,Medication: calpol 120mg/5ml paediatric suspension,binary
20003,1140868328,Medication: calpol 120mg/5ml paediatric s/f suspension,binary
20003,1140868330,Medication: progesic 200mg tablet,binary
20003,1140868336,Medication: synflex 275mg tablet,binary
20003,1140868342,Medication: acupan 30mg tablet,binary
20003,1140868364,Medication: prednisone,binary
20003,1140868370,Medication: decortisyl 5mg tablet,binary
20003,1140868372,Medication: climaval 1mg tablet,binary
20003,1140868400,Medication: oestriol product,binary
20003,1140868406,Medication: conjugated oestrogens,binary
20003,1140868408,Medication: premarin 625micrograms tablet,binary
20003,1140868420,Medication: piperazine oestrone sulphate,binary
20003,1140868422,Medication: harmogen 1.5mg tablet,binary
20003,1140868426,Medication: triamcinolone,binary
20003,1140868434,Medication: ledercort 2mg tablet,binary
20003,1140868446,Medication: ethinyloestradiol,binary
20003,1140868456,Medication: oestradiol product,binary
20003,1140868458,Medication: hormonin tablet,binary
20003,1140868460,Medication: progynova 1mg tablet,binary
20003,1140868470,Medication: estrapak 50micrograms/1mg patch+tablet,binary
20003,1140868472,Medication: vagifem 25mcg pessary,binary
20003,1140868482,Medication: tibolone,binary
20003,1140868488,Medication: allyloestrenol,binary
20003,1140868490,Medication: gestanin 5mg tablet,binary
20003,1140868494,Medication: dydrogesterone,binary
20003,1140868496,Medication: duphaston 10mg tablet,binary
20003,1140868508,Medication: cyclo-progynova 1mg tablet,binary
20003,1140868512,Medication: syntex menophase tablet,binary
20003,1140868514,Medication: trisequens tablet,binary
20003,1140868518,Medication: nuvelle tablet,binary
20003,1140868520,Medication: estracombi tts patch,binary
20003,1140868524,Medication: androcur 50mg tablet,binary
20003,1140868526,Medication: mesterolone,binary
20003,1140868528,Medication: pro-viron 25mg tablet,binary
20003,1140868532,Medication: testosterone product,binary
20003,1140868534,Medication: primoteston depot 250mg/1ml oily injection,binary
20003,1140868536,Medication: restandol 40mg capsule,binary
20003,1140868538,Medication: sustanon 100 oily injection,binary
20003,1140868550,Medication: finasteride,binary
20003,1140868554,Medication: proluton depot 250mg/1ml oily injection,binary
20003,1140868580,Medication: norethisterone,binary
20003,1140868584,Medication: primolut-n 5mg tablet,binary
20003,1140868586,Medication: utovlan 5mg tablet,binary
20003,1140868588,Medication: progesterone product,binary
20003,1140868590,Medication: cyclogest 200mg suppository,binary
20003,1140868608,Medication: proscar 5mg tablet,binary
20003,1140868614,Medication: deca-durabolin 25mg/1ml oily injection,binary
20003,1140868618,Medication: stanozolol,binary
20003,1140868620,Medication: stromba 5mg tablet,binary
20003,1140868628,Medication: humegon 75iu injection (pdr for recon)+solvent,binary
20003,1140868644,Medication: somatropin,binary
20003,1140868646,Medication: humatrope(rbe) 4iu(1.3mg) injection (pdr for recon)+diluent,binary
20003,1140868648,Medication: saizen(rmc) 4iu(1.33mg) injection (pdr for recon)+diluent,binary
20003,1140868650,Medication: norditropin(epr) 12iu(4mg) injection (pdr for recon)+diluent,binary
20003,1140868714,Medication: clomid 50mg tablet,binary
20003,1140868716,Medication: serophene 50mg tablet,binary
20003,1140868722,Medication: cyclofenil,binary
20003,1140868724,Medication: rehibin 100mg tablet,binary
20003,1140868730,Medication: pergonal 75iu injection (pdr for recon)+solvent,binary
20003,1140868760,Medication: miacalcic 100iu/1ml injection,binary
20003,1140868770,Medication: disodium etidronate,binary
20003,1140868772,Medication: didronel 200mg tablet,binary
20003,1140868784,Medication: disodium pamidronate,binary
20003,1140868794,Medication: sodium clodronate,binary
20003,1140868800,Medication: loron 400mg capsule,binary
20003,1140868804,Medication: bonefos 400mg capsule,binary
20003,1140868808,Medication: sermorelin,binary
20003,1140868810,Medication: geref 50 injection (pdr for recon)+solvent,binary
20003,1140868816,Medication: desmopressin,binary
20003,1140868820,Medication: desmospray 10micrograms nasal spray,binary
20003,1140868824,Medication: ddavp 100micrograms tablet,binary
20003,1140868836,Medication: terlipressin,binary
20003,1140868838,Medication: glypressin 1mg injection,binary
20003,1140868842,Medication: vasopressin product,binary
